,Deserts and Xeric Shrublands,Flooded Grasslands and Savannas,Montane Grasslands and Shrublands,Tropical and Subtropical Moist Broadleaf Forests,"Tropical and subtropical grasslands, savannas, and shrublands",recall,precision,f1,kappa
0,18.0,0.0,2.0,1.0,3.0,0.6428571428571429,0.75,0.6923076923076924,0.5989159891598916
1,1.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.5,0.25,0.2291666666666667
2,3.0,0.0,9.0,0.0,0.0,0.6428571428571429,0.75,0.6923076923076924,0.651764705882353
3,1.0,0.0,3.0,22.0,5.0,0.7857142857142857,0.7096774193548387,0.7457627118644068,0.6540619156451278
4,5.0,5.0,0.0,5.0,27.0,0.7714285714285715,0.6428571428571429,0.7012987012987013,0.5446762974852862
