,Deserts and Xeric Shrublands,Flooded Grasslands and Savannas,Montane Grasslands and Shrublands,Tropical and Subtropical Moist Broadleaf Forests,"Tropical and subtropical grasslands, savannas, and shrublands",recall,precision,f1,kappa
0,18.0,0.0,2.0,0.0,4.0,0.72,0.75,0.7346938775510204,0.6595895258315642
1,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.5,0.4,0.3867403314917127
2,1.0,0.0,11.0,0.0,0.0,0.7333333333333333,0.9166666666666666,0.8148148148148148,0.7895335608646188
3,0.0,0.0,2.0,25.0,4.0,0.8064516129032258,0.8064516129032258,0.8064516129032258,0.7314516129032258
4,5.0,2.0,0.0,6.0,29.0,0.7837837837837838,0.6904761904761905,0.7341772151898734,0.588235294117647
