,Deserts and Xeric Shrublands,Flooded Grasslands and Savannas,Montane Grasslands and Shrublands,Tropical and Subtropical Moist Broadleaf Forests,"Tropical and subtropical grasslands, savannas, and shrublands",recall,precision,f1,kappa
0,22.0,0.0,1.0,0.0,1.0,0.7096774193548387,0.9166666666666666,0.7999999999999999,0.7355425601039639
1,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.49082568807339455
2,0.0,0.0,12.0,0.0,0.0,0.6666666666666666,1.0,0.8,0.7701863354037267
3,1.0,0.0,4.0,26.0,0.0,0.7647058823529411,0.8387096774193549,0.7999999999999999,0.717446641864108
4,7.0,1.0,1.0,8.0,25.0,0.9615384615384616,0.5952380952380952,0.7352941176470588,0.6275167785234901
