,Deserts and Xeric Shrublands,Flooded Grasslands and Savannas,Montane Grasslands and Shrublands,Tropical and Subtropical Moist Broadleaf Forests,"Tropical and subtropical grasslands, savannas, and shrublands",recall,precision,f1,kappa
0,20.0,0.0,2.0,0.0,2.0,0.7692307692307693,0.8333333333333334,0.8,0.7419804741980475
1,0.0,1.0,1.0,0.0,0.0,0.3333333333333333,0.5,0.4,0.3867403314917127
2,1.0,0.0,11.0,0.0,0.0,0.7333333333333333,0.9166666666666666,0.8148148148148148,0.7895335608646189
3,1.0,0.0,0.0,26.0,4.0,0.896551724137931,0.8387096774193549,0.8666666666666666,0.8173591114767584
4,4.0,2.0,1.0,3.0,32.0,0.8421052631578947,0.7619047619047619,0.8,0.6877637130801688
