,Deserts and Xeric Shrublands,Flooded Grasslands and Savannas,Montane Grasslands and Shrublands,Tropical and Subtropical Moist Broadleaf Forests,"Tropical and subtropical grasslands, savannas, and shrublands",recall,precision,f1,kappa
0,23.0,0.0,0.0,0.0,1.0,0.7931034482758621,0.9583333333333334,0.8679245283018867,0.8269873079492317
1,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.49082568807339455
2,0.0,0.0,11.0,1.0,0.0,0.8461538461538461,0.9166666666666666,0.8799999999999999,0.8647990255785627
3,0.0,0.0,2.0,26.0,3.0,0.896551724137931,0.8387096774193549,0.8666666666666666,0.8173591114767584
4,5.0,1.0,0.0,2.0,34.0,0.8947368421052632,0.8095238095238095,0.8500000000000001,0.7658227848101266
