,Deserts and Xeric Shrublands,Flooded Grasslands and Savannas,Montane Grasslands and Shrublands,Tropical and Subtropical Moist Broadleaf Forests,"Tropical and subtropical grasslands, savannas, and shrublands",recall,precision,f1,kappa
0,19.0,2.0,3.0,0.0,0.0,0.8636363636363636,0.7916666666666666,0.8260869565217391,0.7807407407407407
1,1.0,1.0,0.0,0.0,0.0,0.07692307692307693,0.5,0.13333333333333336,0.10539367637941723
2,0.0,0.0,12.0,0.0,0.0,0.6,1.0,0.7499999999999999,0.7109374999999999
3,0.0,1.0,3.0,24.0,3.0,0.8888888888888888,0.7741935483870968,0.8275862068965517,0.7670025188916877
4,2.0,9.0,2.0,3.0,26.0,0.896551724137931,0.6190476190476191,0.732394366197183,0.6126721763085399
