,Deserts and Xeric Shrublands,Flooded Grasslands and Savannas,Montane Grasslands and Shrublands,Tropical and Subtropical Moist Broadleaf Forests,"Tropical and subtropical grasslands, savannas, and shrublands",recall,precision,f1,kappa
0,19.0,1.0,2.0,0.0,2.0,0.8636363636363636,0.7916666666666666,0.8260869565217391,0.7807407407407407
1,1.0,1.0,0.0,0.0,0.0,0.14285714285714285,0.5,0.22222222222222224,0.19979402677651908
2,0.0,0.0,12.0,0.0,0.0,0.75,1.0,0.8571428571428571,0.8370044052863438
3,0.0,0.0,1.0,23.0,7.0,0.8846153846153846,0.7419354838709677,0.8070175438596492,0.7410392364793214
4,2.0,5.0,1.0,3.0,31.0,0.775,0.7380952380952381,0.7560975609756099,0.6133751306165098
