,Deserts and Xeric Shrublands,Flooded Grasslands and Savannas,Montane Grasslands and Shrublands,Tropical and Subtropical Moist Broadleaf Forests,"Tropical and subtropical grasslands, savannas, and shrublands",recall,precision,f1,kappa
0,18.0,1.0,4.0,0.0,1.0,0.6206896551724138,0.75,0.679245283018868,0.5798263193052773
1,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.5,0.4,0.3867403314917127
2,1.0,0.0,11.0,0.0,0.0,0.4074074074074074,0.9166666666666666,0.5641025641025641,0.48736756316218416
3,0.0,0.0,9.0,12.0,10.0,0.8571428571428571,0.3870967741935484,0.5333333333333333,0.43518294160407067
4,9.0,1.0,3.0,2.0,27.0,0.7105263157894737,0.6428571428571429,0.6749999999999999,0.49261603375527435
