,Deserts and Xeric Shrublands,Flooded Grasslands and Savannas,Montane Grasslands and Shrublands,Tropical and Subtropical Moist Broadleaf Forests,"Tropical and subtropical grasslands, savannas, and shrublands",recall,precision,f1,kappa
0,18.0,1.0,5.0,0.0,0.0,0.75,0.75,0.75,0.6810344827586207
1,1.0,1.0,0.0,0.0,0.0,0.08333333333333333,0.5,0.14285714285714285,0.11553784860557768
2,1.0,0.0,11.0,0.0,0.0,0.5,0.9166666666666666,0.6470588235294118,0.589648798521257
3,0.0,1.0,5.0,22.0,3.0,0.9166666666666666,0.7096774193548387,0.7999999999999999,0.7355425601039637
4,4.0,9.0,1.0,2.0,26.0,0.896551724137931,0.6190476190476191,0.732394366197183,0.6126721763085399
